text,text_processed,topic
Στο μεταβαλλόμενο περιβάλλον της σύγχρονης εποχής η υιοθέτηση πρακτικών διαχείρισης κινδύνων αποτελεί μονόδρομο για τη βιώσιμη ανάπτυξη https://t.co/zjHX84K7mb https://t.co/63TgIKd5A9,στο μεταβαλλομενο περιβαλλον τησ συγχρονησ εποχησ η υιοθετηση πρακτικων διαχειρισησ κινδυνων αποτελει μονοδρομο για τη βιωσιμη αναπτυξη,1
Καραμανλής: Πράσινο το σύνολο των έργων υποδομών - Φιλικά προς το περιβάλλον τα 1.300 νέα λεωφορεία που έρχονται https://t.co/WJgrYzSZw0,καραμανλησ πρασινο το συνολο των εργων υποδομων φιλικα προσ το περιβαλλον τα νεα λεωφορεια που ερχονται,1
Ανανεώσιμες Πηγές Ενέργειας: Το λάθος μείγμα στην Ελλάδα - Οι κίνδυνοι από τη μονοκαλλιέργεια https://t.co/lnKE3n3qdo,ανανεωσιμεσ πηγεσ ενεργειασ το λαθοσ μειγμα στην ελλαδα οι κινδυνοι απο τη μονοκαλλιεργεια,1
"Τέσσερις αντιπροτάσεις #Ερσίν_Τατάρ στα ΜΟΕ #Αναστασιάδη: Υδρογονάνθρακες, υδάτινοι πόροι, ηλεκτρική και πράσινη ενέργεια https://t.co/2ldqyyVBaK via @politis_news #Κύπρος #Κυπριακό",τεσσερισ αντιπροτασεισ ερσιν_ταταρ στα μοε αναστασιαδη υδρογονανθρακεσ υδατινοι ποροι ηλεκτρικη και πρασινη ενεργεια via politis_news κυπροσ κυπριακο,1
"Μπορεί ο Θάνος Πλεύρης να αποφεύγει όπως ο διάολος το λιβάνι τους δημοσιογράφους του Documento όταν του ζητούν μια δήλωση, αλλά αν πρόκειται για το ασφαλές περιβάλλον που εξασφαλίζει μία ανάρτηση στο Twitter, δεν έχει πρόβλημα να τοποθετηθεί δημόσια https://t.co/cAt9pwKKus",μπορει ο θανοσ πλευρησ να αποφευγει οπωσ ο διαολοσ το λιβανι τουσ δημοσιογραφουσ του documento οταν του ζητουν μια δηλωση αλλα αν προκειται για το ασφαλεσ περιβαλλον που εξασφαλιζει μια αναρτηση στο twitter δεν εχει προβλημα να τοποθετηθει δημοσια,1
RT @OlympiaAnast: Άρθρο μου στο ετήσιο έντυπο Thought Leaders 2022 του @gtpgr  σχετικά με τον βιώσιμο τουρισμό.👉Amid an unprecedented inter…, olympiaanast αρθρο μου στο ετησιο εντυπο thought leaders του gtpgr σχετικα με τον βιωσιμο τουρισμοamid an unprecedented inter,1
"Χανιά: Ο ενεργειακός μετασχηματισμός, στο επίκεντρο του 6ου Παγκρήτιου Ενεργειακού Συνεδρίου

https://t.co/xUkmas00nK https://t.co/GXxe5e4Qty",χανια ο ενεργειακοσ μετασχηματισμοσ στο επικεντρο του ου παγκρητιου ενεργειακου συνεδριου,1
"Καθώς η #αναζήτηση για λιγότερο βλαβερές για το #περιβάλλον αερομεταφορές συνεχίζεται, μια ισπανική αεροπορική #εταιρεία ανέλαβε την τεράστια #πρόκληση να παραγγείλει νέα υβριδικά #αερόπλοια.
#Διεθνη 

https://t.co/J9U6PcNdD4",καθωσ η αναζητηση για λιγοτερο βλαβερεσ για το περιβαλλον αερομεταφορεσ συνεχιζεται μια ισπανικη αεροπορικη εταιρεια ανελαβε την τεραστια προκληση να παραγγειλει νεα υβριδικα αεροπλοια διεθνη,1
"Βασίλης Κικίλιας: 
«Νούμερο 1 προορισμός η Ελλάδα για τους ταξιδιώτες από Γαλλία και Ιταλία» 

Ο υπουργός Τουρισμού επισήμανε, ότι παρά το παγκόσμιο ασταθές περιβάλλον, τα αποτελέσματα που υπάρχουν στις αφίξεις τουριστών στη χώρα μας είναι εντυπωσιακά

https://t.co/arzQCKG3DZ https://t.co/kGhr1hCAgb",βασιλησ κικιλιασ νουμερο προορισμοσ η ελλαδα για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ο υπουργοσ τουρισμου επισημανε οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα αποτελεσματα που υπαρχουν στισ αφιξεισ τουριστων στη χωρα μασ ειναι εντυπωσιακα,1
"«Η Ελλάδα είναι φέτος ο νούμερο 1 προορισμός για τους ταξιδιώτες από Γαλλία και Ιταλία» ανέφερε ο υπουργός Τουρισμού Βασίλης Κικίλιας μιλώντας στον τηλεοπτικό σταθμό Open, επισημαίνοντας ότι -παρά το παγκόσμιο ασταθές περιβάλλον- τα εντυπωσιακά

https://t.co/ttKZ0oG5DQ",η ελλαδα ειναι φετοσ ο νουμερο προορισμοσ για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ανεφερε ο υπουργοσ τουρισμου βασιλησ κικιλιασ μιλωντασ στον τηλεοπτικο σταθμο open επισημαινοντασ οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα εντυπωσιακα,1
"Τα Ηνωμένα Έθνη έχουν ορίσει την βιώσιμη ανάπτυξη στην έκθεση Brundtland, ως «μια ανάπτυξη που ικανοποιεί τις ανάγκες του παρόντος χωρίς να διακυβεύει την ικανότητα των μελλοντικών γενεών να ικανοποιήσουν τις δικές τους ανάγκες».

https://t.co/vDOUmApXg3",τα ηνωμενα εθνη εχουν ορισει την βιωσιμη αναπτυξη στην εκθεση brundtland ωσ μια αναπτυξη που ικανοποιει τισ αναγκεσ του παροντοσ χωρισ να διακυβευει την ικανοτητα των μελλοντικων γενεων να ικανοποιησουν τισ δικεσ τουσ αναγκεσ,1
"να κάτι τέτοια αρθράκια συνοψίζουν μέσα σε πενήντα λέξεις όλη την παράνοια του παλιού καλού καπιταλισμού με αλατοπίπερο την ηθική του ύστερου, καταστρέφεις το περιβάλλον για ωφελιμιστικούς λόγους, τώρα, ακριβώς για τους ίδιους λόγους, θα το προστατεύσεις. https://t.co/CovkJyZrdl",να κατι τετοια αρθρακια συνοψιζουν μεσα σε πενηντα λεξεισ ολη την παρανοια του παλιου καλου καπιταλισμου με αλατοπιπερο την ηθικη του υστερου καταστρεφεισ το περιβαλλον για ωφελιμιστικουσ λογουσ τωρα ακριβωσ για τουσ ιδιουσ λογουσ θα το προστατευσεισ,1
[Κλικ και διαβάστε στο NewsBeast]Οι  #Ελληνίδες υφάντρες που υπερασπίζονται τη βιώσιμη μόδα μέσω αρχαίων τεχνικών https://t.co/2Pfr8pqKBx,κλικ και διαβαστε στο newsbeastοι ελληνιδεσ υφαντρεσ που υπερασπιζονται τη βιωσιμη μοδα μεσω αρχαιων τεχνικων,1
ΙΛΛΥΡΙΑ WEB TV | ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΠΕΡΙΒΑΛΛΟΝ | ΕΙΡΗΝΗ ΚΑΝΕΛΛΟΥ https://t.co/yondm4gZCs,ιλλυρια web tv οικονομια και περιβαλλον ειρηνη κανελλου,1
"ΠΔΕ: Ημερίδα της UNESCO, για την Εκπαίδευση τον Πολιτισμό &amp; τη Βιώσιμη Ανάπτυξη https://t.co/wYM3ZPjSVg",πδε ημεριδα τησ unesco για την εκπαιδευση τον πολιτισμο amp τη βιωσιμη αναπτυξη,1
Το περιβάλλον ως ...επαγγελματική διέξοδος - Συνέντευξη του Ευθύμιου Προβίδα στην Πολιτεία https://t.co/buUxjvFWsl,το περιβαλλον ωσ επαγγελματικη διεξοδοσ συνεντευξη του ευθυμιου προβιδα στην πολιτεια,1
ΠΕΡΙΒΑΛΛΟΝ – Η ΜΟΛΥΝΣΗ ΤΩΝ ΥΔΑΤΩΝ https://t.co/xhaeyPwZl8,περιβαλλον η μολυνση των υδατων,1
Καρδία: Εγκαινιάστηκε το Πάρκο Φυτοποικιλότητας με τα χίλια σπάνια φυτά https://t.co/gefkdgY1Ba #ΔΗΜΟΤΙΚΑ #ΔΤ #ΚΑΡΔΙΑ #ΠΕΡΙΒΑΛΛΟΝ https://t.co/V0peLWJLG2,καρδια εγκαινιαστηκε το παρκο φυτοποικιλοτητασ με τα χιλια σπανια φυτα δημοτικα δτ καρδια περιβαλλον,1
Πώς θα περνάς τέλεια στην παραλία χωρίς να επιβαρύνεις το περιβάλλον https://t.co/l1KdMzeYvg,πωσ θα περνασ τελεια στην παραλια χωρισ να επιβαρυνεισ το περιβαλλον,1
"#Ερευνητές της Κινεζικής Ακαδημίας Επιστημών, οι οποίοι έκαναν τη σχετική #δημοσίευση στο #περιοδικό βιοτεχνολογίας “#Nature_Biotechnology”, σύμφωνα με το #Live_Science
#Κλιματικη_αλλαγη #μικροβια #παγοι #περιβαλλον #Επιστημη #Υγεια 

https://t.co/TlXwd8b3gl",ερευνητεσ τησ κινεζικησ ακαδημιασ επιστημων οι οποιοι εκαναν τη σχετικη δημοσιευση στο περιοδικο βιοτεχνολογιασ nature_biotechnology συμφωνα με το live_science κλιματικη_αλλαγη μικροβια παγοι περιβαλλον επιστημη υγεια,1
