text,text_processed,topic
"Πάντως ο φόβος κάνει καλά την δουλειά του. Όλοι φοράνε μάσκα , αυτό θα μας σώσει, τους λαθρομετανάστες που έχουν κατακλύσει την περιοχή κ για αυτό έχουν εκτιναχθεί τα κρούσματα δεν μπορούν να τους μαζέψουν. Στο φόβο σου ποντάρουν κ δυστυχώς κέρδισαν. Ετοιμαστείτε για τ χειρότερα",παντωσ ο φοβοσ κανει καλα την δουλεια του ολοι φορανε μασκα αυτο θα μασ σωσει τουσ λαθρομεταναστεσ που εχουν κατακλυσει την περιοχη κ για αυτο εχουν εκτιναχθει τα κρουσματα δεν μπορουν να τουσ μαζεψουν στο φοβο σου πονταρουν κ δυστυχωσ κερδισαν ετοιμαστειτε για τ χειροτερα,2
"@Sofia93338779 @eUuVlcfLoduQiDT Το αστείο είναι ότι πολύ ελάχιστοι είναι οικονομολόγοι, αλλά όλοι βγάζουν τη χολή τους για να είναι πιστόλι στην κομματική γραμμή, νομίζοντας ότι η Γερμανία θα τους αφήσει αυτούς απείραχτους. Δεν ξέρουν ότι όλα τα σπίτια θα πάνε σε λαθρομετανάστες που θα γίνουν Έλληνες....",sofia euuvlcfloduqidt το αστειο ειναι οτι πολυ ελαχιστοι ειναι οικονομολογοι αλλα ολοι βγαζουν τη χολη τουσ για να ειναι πιστολι στην κομματικη γραμμη νομιζοντασ οτι η γερμανια θα τουσ αφησει αυτουσ απειραχτουσ δεν ξερουν οτι ολα τα σπιτια θα πανε σε λαθρομεταναστεσ που θα γινουν ελληνεσ,2
@kritikia @Vkikilias @kmitsotakis Σε όλα τα νοσοκομεία γίνετε αυτό.. Έχουν γεμίσει με λαθρομετανάστες και έσυ Έλληνα πλήρωνε φόρους,kritikia vkikilias kmitsotakis σε ολα τα νοσοκομεια γινετε αυτο εχουν γεμισει με λαθρομεταναστεσ και εσυ ελληνα πληρωνε φορουσ,2
"@NikKo_ial Γατάκια μπροστα στον ελλαδιστάν του Κουλη. Ειχαμε νεο 2πλο φονικο απο μπαγκλαντεσιανο στα Χανια. η 5η δολοφονια απο λαθρομετανάστες το τελευταιο 3μηνο (προηγηθηκε 84χρονη στην Πρεβεζα, 58χρονη στα Φιλιατρα που φονευτηκαν απο πακιστανους &amp; 77χρονο στη Μανδρα απο κουβεϊτιανο).",nikko_ial γατακια μπροστα στον ελλαδισταν του κουλη ειχαμε νεο πλο φονικο απο μπαγκλαντεσιανο στα χανια η η δολοφονια απο λαθρομεταναστεσ το τελευταιο μηνο προηγηθηκε χρονη στην πρεβεζα χρονη στα φιλιατρα που φονευτηκαν απο πακιστανουσ amp χρονο στη μανδρα απο κουβεϊτιανο,2
ΕΠΙΤΡΕΠΕΤΑΙ; ΠΑΚΙΣΤΑΝΟΙ(εχθρική χώρα της Ελλαδας) πήραν άδεια για πορεία στην Αθήνα την 28η Οκτωβρίου;Για Ελληνες απαγόρευση για τους λαθρομετανάστες ..ξέφραγο αμπέλι; @ellinikilisi https://t.co/62wtcuFXua,επιτρεπεται πακιστανοιεχθρικη χωρα τησ ελλαδασ πηραν αδεια για πορεια στην αθηνα την η οκτωβριουγια ελληνεσ απαγορευση για τουσ λαθρομεταναστεσ ξεφραγο αμπελι ellinikilisi,2
Ήρθε από το ΕΜΠΌΛΕΜΟ Μπαγκλαντές κ ζήτησε ΆΣΥΛΟ ! Η Ελληνική κυβέρνηση το δέχθηκε ως νόμιμη αίτηση ασύλου κ του έδωσε το δικαίωμα να διαμένει στην χώρα Οι άτυχοι άνθρωποι του νοικισαν σπίτι αποδεχόμενοι την εγκληματική εισβολή τού Ισλάμ Κοινή η ευθύνη https://t.co/b07RScvppw https://t.co/pmwkIBh9YL,ηρθε απο το εμπολεμο μπαγκλαντεσ κ ζητησε ασυλο η ελληνικη κυβερνηση το δεχθηκε ωσ νομιμη αιτηση ασυλου κ του εδωσε το δικαιωμα να διαμενει στην χωρα οι ατυχοι ανθρωποι του νοικισαν σπιτι αποδεχομενοι την εγκληματικη εισβολη του ισλαμ κοινη η ευθυνη,2
ΕΒΑΛΑΝ ΦΙΔΙ ΣΤΟΝ ΚΟΡΦΟ ΤΟΥΣ ...ΚΑΙ ΔΕΝ ΕΙΝΑΙ ΟΙ ΜΟΝΑΔΙΚΟΙ ...ΣΤΑΤΙΣΤΙΚΑ ΑΠΟΔΕΙΚΝΥΕΤΑΙ ΠΛΕΟΝ ΟΤΙ ΠΑΚΙΣΤΑΝΟΙ ΜΠΑΓΚΛΑΝΤΕΣΙΑΝΟΙ ΕΙΝΑΙ ΣΤΗΝ ΚΟΡΥΦΗ ΤΩΝ ΕΓΚΛΗΜΑΤΙΚΩΝ ΕΝΕΡΓΕΙΩΝ,εβαλαν φιδι στον κορφο τουσ και δεν ειναι οι μοναδικοι στατιστικα αποδεικνυεται πλεον οτι πακιστανοι μπαγκλαντεσιανοι ειναι στην κορυφη των εγκληματικων ενεργειων,2
@rHTFtwZBI86GRr0 @BillP____ @gazzetta_gr Άσε τα πολιτικά και πήγαινε στην ουσία .Ο νόμος δεν είναι στα μέτρα μας και την ηθικη μας έχουν δικά τους μέτρα.Χωρίς χαρτιά είναι χωρίς το κατάλαβες!Το ότι οι άλλοι πήγαν να κάνουν έγκλημα ναι !Τωρα τι εινσι αυτό που θέλεις εσυ να πεις ?Μπατε σκύλοι αλέστε και αλεστηκα όχι !,rhtftwzbigrr billp____ gazzetta_gr ασε τα πολιτικα και πηγαινε στην ουσια ο νομοσ δεν ειναι στα μετρα μασ και την ηθικη μασ εχουν δικα τουσ μετραχωρισ χαρτια ειναι χωρισ το καταλαβεστο οτι οι αλλοι πηγαν να κανουν εγκλημα ναι τωρα τι εινσι αυτο που θελεισ εσυ να πεισ μπατε σκυλοι αλεστε και αλεστηκα οχι,2
RT @akrokentrwos: Λαθρομετανάστες στο Σουφλί εφραξαν το δρόμο με κλαδιά και επιτέθηκαν σε διερχόμενο όχημα. #Θα_ενσωματωθουν https://t.co…, akrokentrwos λαθρομεταναστεσ στο σουφλι εφραξαν το δρομο με κλαδια και επιτεθηκαν σε διερχομενο οχημα θα_ενσωματωθουν,2
"οι δήθεν αντιρατσιστές,αντιφασίστες και δήθεν μεγάλα θύματα της ανθρωπότητας απο τον Αδόλφο Ρότσιλντ, μιας και υιοθέτησε το επίθετο της πεθεράς του Χίτλερ ο κύριος που είχε εβραϊκές και Πολωνικές ρίζες και όχι Γερμανικές, τον οποίο χρησιμοποίησε ο διεθνής εβραιοσιωνισμός και η μασονία για να στήσουν το ψευδοολοκαύτωμα, θυσιάζοντας 10.000 εβραίους γι αυτό, πατώντας επάνω στον συναισθηματισμό και την ανθρωπιά των λάων, με την δική παρωδία στην Νυρεμβέργη. Μάλιστα ο Παππούς Ρότσιλντ αφήνει έγκυο την καμαριέρα του και το νώθο εγγόνι του Ρότσιλντ κρύβεται επιμελώς. Μεγαλώνει με μαθήματα μίσους για τους Έλληνες και τον Χριστιανισμό και σε ηλικία γάμου υιοθετεί το επίθετο της πεθεράς του και καίει το χωριό του πατέρα και της μητέρας του ,για να κρύψει τα ίχνη του, ενώ όταν ιδρύει την εβραιοναζιστική αυτοκρατορία του, στέλνει στην Ελλάδα τους Γερμανόφωνους εβραίους, για να μπορούν σήμερα να δολοφονούν με την μάσκα του Αμερικάνου όλα τα έθνη και να μιλούν για αντισημιτισμό όταν τους γίνεται δίκαια κριτική για τα ΕΓΚΛΗΜΑΤΑ τους ,με τα οποία πλουτίζουν αρπάζοντας άδικα τις ξένες περιουσίες λαών και απο τους πόλεμους που κάνουν με την πώληση όπλων, ενώ συγχρόνως απαιτούν με θράσος την ανέγερση μαγαρισμένων μουσείων του δήθεν ολοκαυτώματος τους και παγκόσμια αναγνώριση και ασυλία σε οποιαδήποτε δολοφονική τους ενέργεια, προβάλοντας το στημένο δήθεν ολοκαύτωμά τους. Προφανώς ξεχνούν ότι ο εβραιοκουμουνιστής Μάο είχε διαπράξει περισσότερους θανάτους απο εκείνες του εβραιοπολωνού Αδόλφου Ροτσιλντ. Προφανώς ξεχνούν ότι ολοκαύτωμα είναι Ελληνική λέξη και ότι σημαίνει ότι κάποιος για τις ιδέες του προτάσει το στήθος του και προτρέπει τον άλλον να τον σκοτώσει γιατί δεν σκοπεύει να τις απαρνηθεί. Προφανώς ξεχνούν ότι ενώ κάνουν υποδείξεις σε όλον τον κόσμο, ρατσιστικά,φασιστικά και ψυχασθενικά δεν επιτρέπουν σε κανέναν πρόσφυγα να μεταναστεύσει στο μη αναγνωρισμένο κρατίδιο τους. Προφανώς ξεχνούν ότι είναι νόμος στο φασιστικό,ρατσιστικό και ψυχασθενικό ισραήλ, η σύναψη οποιουδήποτε τύπου σχέσεων με μη εβραίους. Προφανώς ξεχνούν ότι λειτουργούν δημόσιες υπηρεσίες κατάδοσης εβραίων που μπασταρδεύουν το δήθεν καθαρό αίμα των εβραίων και την στάση που πήραν όλοι οι υπάνθρωποι πολιτικοί στο μη αναγνωρισμένο ισραήλ, όταν αποκαλύφθηκε η σχέση του γιού του Νετανιάχου με την Χριστιανή γκόϊμ (ακάθαρτη!)",οι δηθεν αντιρατσιστεσαντιφασιστεσ και δηθεν μεγαλα θυματα τησ ανθρωποτητασ απο τον αδολφο ροτσιλντ μιασ και υιοθετησε το επιθετο τησ πεθερασ του χιτλερ ο κυριοσ που ειχε εβραϊκεσ και πολωνικεσ ριζεσ και οχι γερμανικεσ τον οποιο χρησιμοποιησε ο διεθνησ εβραιοσιωνισμοσ και η μασονια για να στησουν το ψευδοολοκαυτωμα θυσιαζοντασ εβραιουσ γι αυτο πατωντασ επανω στον συναισθηματισμο και την ανθρωπια των λαων με την δικη παρωδια στην νυρεμβεργη μαλιστα ο παππουσ ροτσιλντ αφηνει εγκυο την καμαριερα του και το νωθο εγγονι του ροτσιλντ κρυβεται επιμελωσ μεγαλωνει με μαθηματα μισουσ για τουσ ελληνεσ και τον χριστιανισμο και σε ηλικια γαμου υιοθετει το επιθετο τησ πεθερασ του και καιει το χωριο του πατερα και τησ μητερασ του για να κρυψει τα ιχνη του ενω οταν ιδρυει την εβραιοναζιστικη αυτοκρατορια του στελνει στην ελλαδα τουσ γερμανοφωνουσ εβραιουσ για να μπορουν σημερα να δολοφονουν με την μασκα του αμερικανου ολα τα εθνη και να μιλουν για αντισημιτισμο οταν τουσ γινεται δικαια κριτικη για τα εγκληματα τουσ με τα οποια πλουτιζουν αρπαζοντασ αδικα τισ ξενεσ περιουσιεσ λαων και απο τουσ πολεμουσ που κανουν με την πωληση οπλων ενω συγχρονωσ απαιτουν με θρασοσ την ανεγερση μαγαρισμενων μουσειων του δηθεν ολοκαυτωματοσ τουσ και παγκοσμια αναγνωριση και ασυλια σε οποιαδηποτε δολοφονικη τουσ ενεργεια προβαλοντασ το στημενο δηθεν ολοκαυτωμα τουσ προφανωσ ξεχνουν οτι ο εβραιοκουμουνιστησ μαο ειχε διαπραξει περισσοτερουσ θανατουσ απο εκεινεσ του εβραιοπολωνου αδολφου ροτσιλντ προφανωσ ξεχνουν οτι ολοκαυτωμα ειναι ελληνικη λεξη και οτι σημαινει οτι καποιοσ για τισ ιδεεσ του προτασει το στηθοσ του και προτρεπει τον αλλον να τον σκοτωσει γιατι δεν σκοπευει να τισ απαρνηθει προφανωσ ξεχνουν οτι ενω κανουν υποδειξεισ σε ολον τον κοσμο ρατσιστικαφασιστικα και ψυχασθενικα δεν επιτρεπουν σε κανεναν προσφυγα να μεταναστευσει στο μη αναγνωρισμενο κρατιδιο τουσ προφανωσ ξεχνουν οτι ειναι νομοσ στο φασιστικορατσιστικο και ψυχασθενικο ισραηλ η συναψη οποιουδηποτε τυπου σχεσεων με μη εβραιουσ προφανωσ ξεχνουν οτι λειτουργουν δημοσιεσ υπηρεσιεσ καταδοσησ εβραιων που μπασταρδευουν το δηθεν καθαρο αιμα των εβραιων και την σταση που πηραν ολοι οι υπανθρωποι πολιτικοι στο μη αναγνωρισμενο ισραηλ οταν αποκαλυφθηκε η σχεση του γιου του νετανιαχου με την χριστιανη γκοϊμ ακαθαρτη,2
