text,text_processed,topic
SOS Γκουτέρες για την Καραϊβική: Κινδυνεύει όσο καμία άλλη περιοχή από την κλιματική κρίση https://t.co/5l3gtFmdG6,sos γκουτερεσ για την καραϊβικη: κινδυνευει οσο καμια αλλη περιοχη απο την κλιματικη κριση https://tco/5l3gtfmdg6,3
Φινλανδία: Μπαταρία άμμου αποθηκεύει πράσινη ενέργεια για μήνες – Πιθανή λύση στην ενεργειακή κρίση https://t.co/83KFxfWXgh,φινλανδια: μπαταρια αμμου αποθηκευει πρασινη ενεργεια για μηνεσ – πιθανη λυση στην ενεργειακη κριση https://tco/83kfxfwxgh,3
"Ένας συνδυασμός παραγόντων -φυσικές καταστροφές, άνοδος του πληθωρισμού, πανδημία, ενεργειακή και κλιματική κρίση, μέχρι τη Δαμόκλειο https://t.co/FpFO6cZXGg https://t.co/s4JCbOHlmb",ενασ συνδυασμοσ παραγοντων -φυσικεσ καταστροφεσ ανοδοσ του πληθωρισμου πανδημια ενεργειακη και κλιματικη κριση μεχρι τη δαμοκλειο https://tco/fpfo6czxgg https://tco/s4jcbohlmb,3
Φινλανδία: Μπαταρία άμμου αποθηκεύει πράσινη ενέργεια για μήνες – Πιθανή λύση στην ενεργειακή κρίση ... https://t.co/uULSY3xvy8,φινλανδια: μπαταρια αμμου αποθηκευει πρασινη ενεργεια για μηνεσ – πιθανη λυση στην ενεργειακη κριση  https://tco/uulsy3xvy8,3
Κλιματική κρίση: Ο φετινός Ιούνιος ήταν ο τρίτος πιο θερμός παγκοσμίως από το 1981 - LarissaPress https://t.co/e96ezkEwrb,κλιματικη κριση: ο φετινοσ ιουνιοσ ηταν ο τριτοσ πιο θερμοσ παγκοσμιωσ απο το 1981 - larissapress https://tco/e96ezkewrb,3
[Κλικ και διαβάστε στο thecaller]Xρ.  #Στυλιανίδης: Η κλιματική κρίση δεν αντιμετωπίζεται με αυτοσχεδιασμούς https://t.co/D6Otz0gmw8,[κλικ και διαβαστε στο thecaller]xρ  #στυλιανιδησ: η κλιματικη κριση δεν αντιμετωπιζεται με αυτοσχεδιασμουσ https://tco/d6otz0gmw8,3
[https://t.co/bDHZLmoC6L] #Στυλιανίδης: Η κλιματική κρίση είναι εδώ - Χρειαζόμαστε τα  #Επιστήμονικά δεδομένα https://t.co/6JoShYj3yE,[https://tco/bdhzlmoc6l] #στυλιανιδησ: η κλιματικη κριση ειναι εδω - χρειαζομαστε τα  #επιστημονικα δεδομενα https://tco/6joshyj3ye,3
"Χρ. Στυλιανίδης: Η κλιματική κρίση είναι εδώ - Χρειαζόμαστε τα επιστημονικά δεδομένα και την επιστημονική τεκμηρίωση, όχι τον εμπειρισμό https://t.co/CISfJ4xaPP",χρ στυλιανιδησ: η κλιματικη κριση ειναι εδω - χρειαζομαστε τα επιστημονικα δεδομενα και την επιστημονικη τεκμηριωση οχι τον εμπειρισμο https://tco/cisfj4xapp,3
RT @godelitsas: οριστε η λυση στην κλιματικη κριση ----&gt; a full-scale nuclear war would cool the planet https://t.co/nojDR8zFiJ, @godelitsas: οριστε η λυση στην κλιματικη κριση ----&gt; a full-scale nuclear war would cool the planet https://tco/nojdr8zfij,3
Ο Στυλιανίδης ανακάλυψε ότι η… κλιματική κρίση είναι εδώ! https://t.co/UymSlIugvU #newsbreak,ο στυλιανιδησ ανακαλυψε οτι η… κλιματικη κριση ειναι εδω https://tco/uymsliugvu #newsbreak,3
