text,text_processed,topic
"Τέσσερις αντιπροτάσεις #Ερσίν_Τατάρ στα ΜΟΕ #Αναστασιάδη: Υδρογονάνθρακες, υδάτινοι πόροι, ηλεκτρική και πράσινη ενέργεια https://t.co/2ldqyyVBaK via @politis_news #Κύπρος #Κυπριακό",τεσσερισ αντιπροτασεισ #ερσιν_ταταρ στα μοε #αναστασιαδη: υδρογονανθρακεσ υδατινοι ποροι ηλεκτρικη και πρασινη ενεργεια https://tco/2ldqyyvbak via @politis_news #κυπροσ #κυπριακο,2
RT @OlympiaAnast: Άρθρο μου στο ετήσιο έντυπο Thought Leaders 2022 του @gtpgr  σχετικά με τον βιώσιμο τουρισμό.👉Amid an unprecedented inter…, @olympiaanast: αρθρο μου στο ετησιο εντυπο thought leaders 2022 του @gtpgr  σχετικα με τον βιωσιμο τουρισμο👉amid an unprecedented inter…,2
Στη Φινλανδία η πρώτη στον κόσμο μπαταρία από άμμο που αποθηκεύει «πράσινη» ενέργεια - https://t.co/3v0HtATSpN https://t.co/SPC8Y0yjyv,στη φινλανδια η πρωτη στον κοσμο μπαταρια απο αμμο που αποθηκευει «πρασινη» ενεργεια - https://tco/3v0htatspn https://tco/spc8y0yjyv,2
Φινλανδία: Μπαταρία άμμου αποθηκεύει πράσινη ενέργεια για μήνες – Πιθανή λύση στην ενεργειακή κρίση https://t.co/83KFxfWXgh,φινλανδια: μπαταρια αμμου αποθηκευει πρασινη ενεργεια για μηνεσ – πιθανη λυση στην ενεργειακη κριση https://tco/83kfxfwxgh,2
"Ερευνητές εγκατέστησαν στη δυτική Φινλανδία την πρώτη στον κόσμο πλήρως λειτουργική μπαταρία άμμου, η οποία μπορεί να αποθηκεύσει «πράσινη» ενέργεια για μήνες

https://t.co/zIW743m75J",ερευνητεσ εγκατεστησαν στη δυτικη φινλανδια την πρωτη στον κοσμο πληρωσ λειτουργικη μπαταρια αμμου η οποια μπορει να αποθηκευσει «πρασινη» ενεργεια για μηνεσ  https://tco/ziw743m75j,2
"Με στόχο να χρηματοδοτήσει επενδύσεις σε πράσινη ενέργεια, βιώσιμα κτήρια και συστήματα που δημιουργούν μια «έξυπνη» ενεργειακή πόλη στο Ελληνικό ξεκινάει αύριο Τετάρτη 6 Ιουλίου η δημόσια προσφορά για το επταετές «πράσινο» ομόλογο της Lamda Development

https://t.co/5xnBSVJ2a2 https://t.co/G2bhkE80bn",με στοχο να χρηματοδοτησει επενδυσεισ σε πρασινη ενεργεια βιωσιμα κτηρια και συστηματα που δημιουργουν μια «εξυπνη» ενεργειακη πολη στο ελληνικο ξεκιναει αυριο τεταρτη 6 ιουλιου η δημοσια προσφορα για το επταετεσ «πρασινο» ομολογο τησ lamda development  https://tco/5xnbsvj2a2 https://tco/g2bhke80bn,2
Φινλανδία: Μπαταρία άμμου αποθηκεύει πράσινη ενέργεια για μήνες – Πιθανή λύση στην ενεργειακή κρίση ... https://t.co/uULSY3xvy8,φινλανδια: μπαταρια αμμου αποθηκευει πρασινη ενεργεια για μηνεσ – πιθανη λυση στην ενεργειακη κριση  https://tco/uulsy3xvy8,2
"Μη βιώσιμο πλέον το all-inclusive για τον τουρισμό στην Τουρκία

https://t.co/eZYW1lL0M1

#Τουρκια  #allinclusive #τουρισμός #τουρίστες #ξενοδοχεία #οικονομία #πληθωρισμός #businessnews #biznews #biznewsgr",μη βιωσιμο πλεον το all-inclusive για τον τουρισμο στην τουρκια  https://tco/ezyw1ll0m1  #τουρκια  #allinclusive #τουρισμοσ #τουριστεσ #ξενοδοχεια #οικονομια #πληθωρισμοσ #businessnews #biznews #biznewsgr,2
Το Public Group αναλαμβάνει δράση για έναν βιώσιμο πλανήτη με το πρόγραμμα Love Earth - mononews #mononewsGR https://t.co/fziVGCKmMw,το public group αναλαμβανει δραση για εναν βιωσιμο πλανητη με το προγραμμα love eah - mononews #mononewsgr https://tco/fzivgckmmw,2
Οι ασθενείς διεκδικούν ένα δίκαιο και πολιτικά βιώσιμο σύστημα υγείας - Τι δείχνει η μελέτη PHSSR - https://t.co/rOEMnTUH9r https://t.co/IQgDMJSGbS,οι ασθενεισ διεκδικουν ενα δικαιο και πολιτικα βιωσιμο συστημα υγειασ - τι δειχνει η μελετη phssr - https://tco/roemntuh9r https://tco/iqgdmjsgbs,2
"Διχάζει απόφαση του Ευρωκοινοβουλίου για ""πράσινη"" ετικέτα στην πυρηνική ενέργεια - LarissaPress https://t.co/hOxPeoWW32","διχαζει αποφαση του ευρωκοινοβουλιου για ""πρασινη"" ετικετα στην πυρηνικη ενεργεια - larissapress https://tco/hoxpeoww32",2
Β.Πούτιν για Δυτική υποκρισία-“Μιλάνε για πράσινη ενέργεια αλλά καίνε περισσότερο άνθρακα”https://t.co/vHI1nfTOMV,βπουτιν για δυτικη υποκρισια-“μιλανε για πρασινη ενεργεια αλλα καινε περισσοτερο ανθρακα”https://tco/vhi1nftomv,2
"Νέο, πιο βιώσιμο μοντέλο αγορών από τα Public https://t.co/qg1HHj2Pmu",νεο πιο βιωσιμο μοντελο αγορων απο τα public https://tco/qg1hhj2pmu,2
"Νέο, πιο βιώσιμο μοντέλο αγορών από τα Public https://t.co/SrriuPSEDF",νεο πιο βιωσιμο μοντελο αγορων απο τα public https://tco/srriupsedf,2
"Ο κ. Κικίλιας αναφέρθηκε στον μεγάλο στόχο της επιμήκυνσης της τουριστικής περιόδου και τους δώδεκα μήνες τον χρόνο, προαναγγέλλοντας μάλιστα ότι η επόμενη καμπάνια για τον βιώσιμο τουρισμό -που αποτελεί, όπως επισήμανε, τη νέα ισχυρή τάση στο τουριστικό… https://t.co/ZXz2D1AR6F",ο κ κικιλιασ αναφερθηκε στον μεγαλο στοχο τησ επιμηκυνσησ τησ τουριστικησ περιοδου και τουσ δωδεκα μηνεσ τον χρονο προαναγγελλοντασ μαλιστα οτι η επομενη καμπανια για τον βιωσιμο τουρισμο -που αποτελει οπωσ επισημανε τη νεα ισχυρη ταση στο τουριστικο… https://tco/zxz2d1ar6f,2
"Όμιλος ΟΤΕ: Δέσμευση για έναν πιο βιώσιμο κόσμο, καλύτερο για όλους https://t.co/0tW6BKAIsJ #greece #Πολεμος_στην_Ουκρανια #πανδημια #πολιτικη #survivorGR",ομιλοσ οτε: δεσμευση για εναν πιο βιωσιμο κοσμο καλυτερο για ολουσ https://tco/0tw6bkaisj #greece #πολεμοσ_στην_ουκρανια #πανδημια #πολιτικη #survivorgr,2
Η Έλενα Κουντουρά ομιλήτρια-συντονίστρια της συζήτησης για τον βιώσιμο τουρισμό στο Asian Leadership Conference-2022 https://t.co/b132S1I6Nk #ΕΛΕΝΑΚΟΥΝΤΟΥΡΑ,η ελενα κουντουρα ομιλητρια-συντονιστρια τησ συζητησησ για τον βιωσιμο τουρισμο στο asian leadership conference-2022 https://tco/b132s1i6nk #ελενακουντουρα,2
"Τι σας προσφέρει μεγαλύτερη ευχαρίστηση στις καλοκαιρινές διακοπές; Αρχίζω εγώ παρουσιάζοντας κλιμακωτά:
Το φαγητό,το οικιστικό περιβάλλον,τα πολιτιστικά κάθε είδους( μουσεία, χώροι τέχνης,μνημεία, εκδηλώσεις),οι παραλίες",τι σασ προσφερει μεγαλυτερη ευχαριστηση στισ καλοκαιρινεσ διακοπεσ; αρχιζω εγω παρουσιαζοντασ κλιμακωτα: το φαγητοτο οικιστικο περιβαλλοντα πολιτιστικα καθε ειδουσ( μουσεια χωροι τεχνησμνημεια εκδηλωσεισ)οι παραλιεσ,2
TITAN: Νέο βιώσιμο σκυρόδεμα- Το ANTAEUS είναι 100% ανακυκλώσιμο δομικό υλικό - mononews #mononewsGR https://t.co/jIeQW3uofQ,titan: νεο βιωσιμο σκυροδεμα- το antaeus ειναι 100% ανακυκλωσιμο δομικο υλικο - mononews #mononewsgr https://tco/jieqw3uofq,2
"Ίδρυμα Αντενάουερ: H Aστυπάλαια σημαντικό παράδειγμα των προσπαθειών της ελληνικής κυβέρνησης για καινοτομία και πράσινη ενέργεια

https://t.co/XQopcQmvEB",ιδρυμα αντεναουερ: h aστυπαλαια σημαντικο παραδειγμα των προσπαθειων τησ ελληνικησ κυβερνησησ για καινοτομια και πρασινη ενεργεια  https://tco/xqopcqmveb,2
"Η ελευθερία, η δημοκρατία και η διατήρηση ενός βιώσιμου πλανήτη απαιτούν να ανταποκριθούμε σε αυτή την πρόκληση και να προσπαθήσουμε για έναν ασφαλέστερο και πιο βιώσιμο κόσμο.

https://t.co/dIThl3iVJv",η ελευθερια η δημοκρατια και η διατηρηση ενοσ βιωσιμου πλανητη απαιτουν να ανταποκριθουμε σε αυτη την προκληση και να προσπαθησουμε για εναν ασφαλεστερο και πιο βιωσιμο κοσμο  https://tco/dithl3ivjv,2
Ίδρυμα Αντενάουερ: H Aστυπάλαια σημαντικό παράδειγμα για καινοτομία και πράσινη ενέργεια https://t.co/lr4XfgDkAN #businessnewsgr,ιδρυμα αντεναουερ: h aστυπαλαια σημαντικο παραδειγμα για καινοτομια και πρασινη ενεργεια https://tco/lr4xfgdkan #businessnewsgr,2
Ίδρυμα Αντενάουερ: H Aστυπάλαια σημαντικό παράδειγμα των προσπαθειών για καινοτομία και πράσινη ενέργεια #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/iYRJ4HLnr5,ιδρυμα αντεναουερ: h aστυπαλαια σημαντικο παραδειγμα των προσπαθειων για καινοτομια και πρασινη ενεργεια #δημοκρατικη #ροδοσ #δωδεκανησα https://tco/iyrj4hlnr5,2
"Δεν αρκούν ημίμετρα και προσαρμογές, αλλά μία καλά σχεδιασμένη αλυσίδα αλλαγών, που θα επιταχύνουν τη μετάβαση σε ένα βιώσιμο πρότυπο ανάπτυξης...

https://t.co/Yml8L5dUJe",δεν αρκουν ημιμετρα και προσαρμογεσ αλλα μια καλα σχεδιασμενη αλυσιδα αλλαγων που θα επιταχυνουν τη μεταβαση σε ενα βιωσιμο προτυπο αναπτυξησ  https://tco/yml8l5duje,2
"Σε πολιτική και οικονομική αυτοκτονία οδηγούν την Ευρώπη οι κυρώσεις κατά Ρωσίας, η πράσινη ενέργεια και τα μέτρα για covid https://t.co/So6s5z0O9U",σε πολιτικη και οικονομικη αυτοκτονια οδηγουν την ευρωπη οι κυρωσεισ κατα ρωσιασ η πρασινη ενεργεια και τα μετρα για covid https://tco/so6s5z0o9u,2
